,regionid,productgroup,yearweek,volume
0,A01,ST0001,201415,810144
1,A01,ST0002,201415,128999
2,A01,ST0001,201418,671464
3,A01,ST0002,201418,134467
4,A01,ST0001,201413,470040
5,A01,ST0002,201413,140297
6,A01,ST0001,201411,524787
7,A01,ST0002,201411,145509
8,A01,ST0001,201416,764927
9,A01,ST0002,201416,140313
10,A01,ST0001,201419,682757
11,A01,ST0002,201419,128668
12,A01,ST0001,201414,428195
13,A01,ST0002,201414,137488
14,A01,ST0001,201412,486509
15,A01,ST0001,201417,697502
16,A01,ST0002,201417,127163
17,A01,ST0001,201407,620392
18,A01,ST0002,201407,146476
19,A01,ST0001,201410,511679
20,A01,ST0002,201410,153152
21,A01,ST0001,201402,438251
22,A01,ST0002,201402,123875
23,A01,ST0001,201405,482381
24,A01,ST0002,201405,180516
25,A01,ST0001,201408,571781
26,A01,ST0002,201408,156772
27,A01,ST0001,201403,420290
28,A01,ST0002,201403,114744
29,A01,ST0001,201406,570412
30,A01,ST0002,201406,139277
31,A01,ST0001,201409,569545
32,A01,ST0002,201409,141823
33,A01,ST0001,201401,513598
34,A01,ST0002,201401,155729
35,A01,ST0001,201404,458431
36,A01,ST0002,201404,137162
37,A01,ST0002,201435,149570
38,A01,ST0001,201438,693449
39,A01,ST0002,201438,132870
40,A01,ST0001,201433,679332
41,A01,ST0002,201433,150105
42,A01,ST0001,201441,624735
43,A01,ST0002,201441,127720
44,A01,ST0001,201436,826981
45,A01,ST0002,201436,210006
46,A01,ST0001,201439,636169
47,A01,ST0002,201439,129992
48,A01,ST0001,201434,846123
49,A01,ST0002,201434,168303
50,A01,ST0001,201432,677509
51,A01,ST0002,201432,134564
52,A01,ST0001,201437,717281
53,A01,ST0002,201437,195106
54,A01,ST0001,201440,647135
55,A01,ST0002,201440,139629
56,A01,ST0001,201435,833345
57,A01,ST0001,201425,618699
58,A01,ST0002,201425,128766
59,A01,ST0001,201428,587529
60,A01,ST0002,201428,142598
61,A01,ST0001,201423,610479
62,A01,ST0002,201423,125300
63,A01,ST0001,201426,586721
64,A01,ST0002,201426,135212
65,A01,ST0001,201431,671138
66,A01,ST0002,201431,140732
67,A01,ST0001,201421,620290
68,A01,ST0002,201421,132909
69,A01,ST0001,201429,620882
70,A01,ST0002,201429,154985
71,A01,ST0001,201424,589613
72,A01,ST0002,201424,139590
73,A01,ST0001,201427,599043
74,A01,ST0002,201427,184550
75,A01,ST0001,201422,603104
76,A01,ST0002,201422,143231
77,A01,ST0001,201430,643984
78,A01,ST0002,201430,133998
79,A01,ST0001,201452,1197170
80,A01,ST0002,201452,422468
81,A01,ST0001,201453,757241
82,A01,ST0002,201453,232523
83,A01,ST0001,201443,627906
84,A01,ST0002,201443,124142
85,A01,ST0001,201451,863189
86,A01,ST0002,201451,356271
87,A01,ST0001,201446,644949
88,A01,ST0002,201446,184242
89,A01,ST0001,201449,835398
90,A01,ST0002,201449,669711
91,A01,ST0001,201444,623132
92,A01,ST0002,201444,133493
93,A01,ST0001,201447,681873
94,A01,ST0002,201447,378339
95,A01,ST0001,201442,639179
96,A01,ST0002,201442,136559
97,A01,ST0001,201450,752613
98,A01,ST0002,201450,294579
99,A01,ST0001,201445,621592
100,A01,ST0002,201445,155032
101,A01,ST0001,201448,1103665
102,A01,ST0002,201448,1400339
103,A01,ST0002,201512,151750
104,A01,ST0001,201520,645626
105,A01,ST0002,201520,125863
106,A01,ST0001,201515,810144
107,A01,ST0002,201515,128999
108,A01,ST0001,201518,671464
109,A01,ST0002,201518,134467
110,A01,ST0001,201513,470040
111,A01,ST0002,201513,140297
112,A01,ST0001,201511,524787
113,A01,ST0002,201511,145509
114,A01,ST0001,201516,764927
115,A01,ST0002,201516,140313
116,A01,ST0001,201519,682757
117,A01,ST0002,201519,128668
118,A01,ST0001,201514,428195
119,A01,ST0002,201514,137488
120,A01,ST0001,201512,486509
121,A01,ST0001,201517,697502
122,A01,ST0002,201517,127163
123,A01,ST0001,201507,620392
124,A01,ST0002,201507,146476
125,A01,ST0001,201510,511679
126,A01,ST0002,201510,153152
127,A01,ST0001,201502,438251
128,A01,ST0002,201502,123875
129,A01,ST0001,201505,482381
130,A01,ST0002,201505,180516
131,A01,ST0001,201508,571781
132,A01,ST0002,201508,156772
133,A01,ST0001,201503,420290
134,A01,ST0002,201503,114744
135,A01,ST0001,201506,570412
136,A01,ST0002,201506,139277
137,A01,ST0001,201509,569545
138,A01,ST0002,201509,141823
139,A01,ST0001,201501,513598
140,A01,ST0002,201501,155729
141,A01,ST0001,201504,458431
142,A01,ST0002,201504,137162
143,A01,ST0002,201535,149570
144,A01,ST0001,201538,693449
145,A01,ST0002,201538,132870
146,A01,ST0001,201533,679332
147,A01,ST0002,201533,150105
148,A01,ST0001,201541,624735
149,A01,ST0002,201541,127720
150,A01,ST0001,201536,826981
151,A01,ST0002,201536,210006
152,A01,ST0001,201539,636169
153,A01,ST0002,201539,129992
154,A01,ST0001,201534,846123
155,A01,ST0002,201534,168303
156,A01,ST0001,201532,677509
157,A01,ST0002,201532,134564
158,A01,ST0001,201537,717281
159,A01,ST0002,201537,195106
160,A01,ST0001,201540,647135
161,A01,ST0002,201540,139629
162,A01,ST0001,201535,833345
163,A01,ST0001,201525,618699
164,A01,ST0002,201525,128766
165,A01,ST0001,201528,587529
166,A01,ST0002,201528,142598
167,A01,ST0001,201523,610479
168,A01,ST0002,201523,125300
169,A01,ST0001,201526,586721
170,A01,ST0002,201526,135212
171,A01,ST0001,201531,671138
172,A01,ST0002,201531,140732
173,A01,ST0001,201521,620290
174,A01,ST0002,201521,132909
175,A01,ST0001,201529,620882
176,A01,ST0002,201529,154985
177,A01,ST0001,201524,589613
178,A01,ST0002,201524,139590
179,A01,ST0001,201527,599043
180,A01,ST0002,201527,184550
181,A01,ST0001,201522,603104
182,A01,ST0002,201522,143231
183,A01,ST0001,201530,643984
184,A01,ST0002,201530,133998
185,A01,ST0001,201605,661049
186,A01,ST0002,201605,231214
187,A01,ST0001,201603,531372
188,A01,ST0002,201603,152763
189,A01,ST0001,201601,651243
190,A01,ST0002,201601,162801
191,A01,ST0001,201608,671116
192,A01,ST0002,201608,130000
193,A01,ST0001,201606,881536
194,A01,ST0002,201606,172230
195,A01,ST0001,201552,1197170
196,A01,ST0002,201552,422468
197,A01,ST0001,201604,585025
198,A01,ST0002,201604,197057
199,A01,ST0001,201602,573198
200,A01,ST0002,201602,137186
201,A01,ST0001,201553,757241
202,A01,ST0002,201553,232523
203,A01,ST0001,201607,790430
204,A01,ST0002,201607,161324
205,A01,ST0001,201543,627906
206,A01,ST0002,201543,124142
207,A01,ST0001,201551,863189
208,A01,ST0002,201551,356271
209,A01,ST0001,201546,644949
210,A01,ST0002,201546,184242
211,A01,ST0001,201549,835398
212,A01,ST0002,201549,669711
213,A01,ST0001,201544,623132
214,A01,ST0002,201544,133493
215,A01,ST0001,201547,681873
216,A01,ST0002,201547,378339
217,A01,ST0001,201542,639179
218,A01,ST0002,201542,136559
219,A01,ST0001,201550,752613
